Link,Node_Start,Longitude_Start,Latitude_Start,Node_End,Longitude_End,Latitude_End,Length
2108,955,104.0220874,30.69179222,1360,104.0202459,30.68950455,308.8625764
2109,955,104.0220874,30.69179222,1545,104.0240807,30.69024439,256.671606
2110,956,104.0778861,30.70836235,1181,104.0771725,30.70831924,68.50174549
2111,956,104.0778861,30.70836235,1303,104.0780641,30.71194952,397.9340822
2112,957,103.9967636,30.67595381,978,103.9963677,30.67454556,160.6231128
2113,957,103.9967636,30.67595381,1006,103.9921507,30.6764134,444.8392557
2114,1746,104.0255582,30.67516952,958,104.0261589,30.67753043,267.9153336
2115,958,104.0261589,30.67753043,1319,104.0293844,30.67764865,309.268393
2116,1758,104.0241872,30.67793555,958,104.0261589,30.67753043,194.1451883
2117,958,104.0261589,30.67753043,1647,104.0267466,30.67975536,252.9388909
2118,959,104.1037376,30.66420395,1099,104.1035631,30.66005367,460.277135
2119,959,104.1037376,30.66420395,1315,104.1082024,30.66401277,428.2885069
2120,959,104.1037376,30.66420395,1427,104.102687,30.66733134,360.9261362
2121,960,104.0383729,30.61306544,1093,104.0378111,30.61174835,155.5899644
2122,961,104.072884,30.59762255,1125,104.070717,30.59686374,224.1284404
2123,961,104.072884,30.59762255,1113,104.0715673,30.60028405,320.8454199
2124,962,104.0367435,30.70041989,1420,104.0346961,30.69806312,326.6158913
2125,962,104.0367435,30.70041989,1674,104.0400369,30.70247519,389.0715425
2126,963,104.084483,30.69566169,1115,104.0818796,30.69184404,491.1197448
2127,963,104.084483,30.69566169,1365,104.0787152,30.69703746,573.0752289
2128,964,103.9914975,30.64819486,1076,103.9935681,30.64596869,316.6144048
2129,1856,104.0243735,30.63001075,965,104.0225494,30.63101898,207.4835165
2130,965,104.0225494,30.63101898,986,104.0248174,30.63544404,536.4405259
2131,966,104.0903608,30.67653969,1466,104.0895768,30.6755439,133.4917396
2132,966,104.0903608,30.67653969,1405,104.0925699,30.67906708,351.0632951
2133,967,104.0550112,30.61128466,1190,104.0514275,30.61130347,343.5423865
2134,968,104.0790641,30.61458745,1107,104.083316,30.61359505,422.1491944
2135,968,104.0790641,30.61458745,1101,104.0796812,30.61696945,270.5399741
2136,969,104.0021305,30.68485942,1240,104.0008267,30.68310339,231.2503812
2137,969,104.0021305,30.68485942,1404,104.0066113,30.6827291,489.8710869
2138,970,104.0780206,30.71824697,1288,104.0742058,30.71862667,367.7027492
2139,972,104.0064463,30.67175686,1434,104.0058299,30.66758867,465.7265379
2140,972,104.0064463,30.67175686,1738,104.0014678,30.67222384,479.7478001
2141,972,104.0064463,30.67175686,1492,104.0072364,30.67483213,349.1433554
2142,973,104.0725542,30.64772127,1363,104.0726607,30.64669137,114.5981634
2143,1595,104.0780189,30.64613707,973,104.0725542,30.64772127,552.3083759
2144,973,104.0725542,30.64772127,1556,104.0698903,30.64779168,255.3918375
2145,974,104.0364116,30.60942077,1093,104.0378111,30.61174835,290.7659296
2146,975,104.1352438,30.6229403,1779,104.1362858,30.62448308,198.0154805
2147,976,104.0013005,30.71088213,1449,104.0038276,30.70658516,534.2055542
2148,976,104.0013005,30.71088213,1461,104.0054097,30.71258206,436.2835308
2149,977,104.1032838,30.68263455,1283,104.1072861,30.68493691,460.5331752
2150,979,104.0526638,30.65918799,1134,104.0511249,30.65673632,309.1482962
2151,979,104.0526638,30.65918799,1796,104.0549972,30.65769089,278.4213024
2152,979,104.0526638,30.65918799,1824,104.0533352,30.66116566,228.4313563
2153,980,104.0684967,30.66259625,1583,104.0684967,30.6609573,181.6454605
2154,980,104.0684967,30.66259625,1646,104.0697571,30.6627216,121.5546234
2155,981,104.0517689,30.6005863,1044,104.0551975,30.60075578,329.2493272
2156,982,104.11696,30.62233282,1131,104.1174936,30.62128941,126.4427488
2157,982,104.11696,30.62233282,1325,104.1187349,30.62386306,240.2172069
2158,983,104.0192148,30.68133741,1224,104.0172991,30.67702217,512.2641865
2159,983,104.0192148,30.68133741,1095,104.0229629,30.68025139,378.6825966
2160,984,104.12515,30.71284665,1163,104.1118347,30.71478063,1292.936406
2161,985,103.9960972,30.63746196,1013,103.9936314,30.64138601,494.9595688
2162,986,104.0248174,30.63544404,1248,104.0270208,30.63699331,272.1732689
2163,987,104.1289722,30.66742428,1022,104.1288196,30.6700879,295.5676572
2164,988,104.0574511,30.58122199,1086,104.0521039,30.58111487,512.876548
2165,988,104.0574511,30.58122199,1160,104.0575483,30.58488558,406.1391091
2166,989,104.10386,30.59804157,1038,104.1040346,30.59590093,237.8331989
2167,989,104.10386,30.59804157,1326,104.1068588,30.59843923,290.8620661
2168,990,104.0121158,30.69204887,1695,104.0165822,30.68915906,534.4137894
2169,990,104.0121158,30.69204887,1168,104.01322,30.69418719,259.5193221
2170,990,104.0121158,30.69204887,1566,104.0087919,30.69447168,416.4919821
2171,991,104.1128505,30.72010892,1127,104.1028346,30.72097893,963.8684522
2172,992,103.9888739,30.66393196,1083,103.9903198,30.6638787,138.6576128
2173,993,104.058489,30.63572687,1591,104.0640898,30.63580183,536.8307915
2174,993,104.058489,30.63572687,1329,104.058422,30.63692932,133.4223073
2175,994,104.0982797,30.66840388,1634,104.0954487,30.66752479,288.1881173
2176,994,104.0982797,30.66840388,1859,104.0991842,30.66615627,263.744653
2177,994,104.0982797,30.66840388,1670,104.1018746,30.6694368,362.931564
2178,994,104.0982797,30.66840388,1705,104.0974457,30.67052751,248.5542772
2179,996,104.0743822,30.6227454,1203,104.0746665,30.6189463,421.9323369
2180,997,104.0310372,30.69599301,1302,104.0290806,30.69429393,265.6652349
2181,997,104.0310372,30.69599301,1032,104.0335529,30.694869,271.2508903
2182,1322,104.027512,30.69823421,997,104.0310372,30.69599301,419.1587525
2183,998,104.1116379,30.71228749,1313,104.1104323,30.70648699,653.154712
2184,998,104.1116379,30.71228749,1357,104.106758,30.71287932,471.8861878
2185,998,104.1116379,30.71228749,1163,104.1118347,30.71478063,276.9563468
2186,999,103.9857416,30.67072388,1097,103.9777133,30.67160147,775.2590556
2187,1000,104.0043975,30.64251888,1158,104.0015131,30.64226997,277.7837356
2188,1000,104.0043975,30.64251888,1886,104.0086395,30.63769829,671.3528571
2189,1000,104.0043975,30.64251888,1818,104.0030692,30.64685288,496.9226817
2190,1001,104.0995887,30.62730653,1843,104.1007334,30.62658897,135.5061889
2191,1002,104.0428371,30.62053527,1016,104.0431223,30.62203953,168.94426
2192,1004,104.0290737,30.69002869,1216,104.0270254,30.68807602,292.1117815
2193,1004,104.0290737,30.69002869,1327,104.0321046,30.68820264,353.8926153
2194,1005,104.0729201,30.69705475,1026,104.0707428,30.69704092,208.5423581
2195,1005,104.0729201,30.69705475,1369,104.0742895,30.69705339,131.1495224
2196,1007,104.0349293,30.64918505,1334,104.0387773,30.64862074,373.9964236
2197,1007,104.0349293,30.64918505,1540,104.0348343,30.65134174,239.2014238
2198,1008,104.0758934,30.67758218,1460,104.074683,30.67600168,210.06636
2199,1008,104.0758934,30.67758218,1535,104.0813226,30.67490618,598.7199941
2200,1008,104.0758934,30.67758218,1258,104.07673,30.67884784,161.5537713
2201,1010,104.0824791,30.61850486,1336,104.085047,30.6139843,558.2127839
2202,1010,104.0824791,30.61850486,1243,104.0830681,30.62309815,512.1917406
2203,1011,104.0041934,30.67864559,1056,104.0026792,30.6762614,301.4362171
2204,1013,103.9936314,30.64138601,1090,103.9913554,30.64443734,402.4217299
2205,1014,104.0300293,30.65164912,1828,104.0243492,30.65209681,546.5316574
2206,1014,104.0300293,30.65164912,1645,104.0295853,30.65343078,201.99432
2207,1016,104.0431223,30.62203953,1172,104.0427743,30.62252235,63.05385226
2208,1017,104.0847891,30.6093794,1107,104.083316,30.61359505,488.0924974
2209,1018,104.0494214,30.73264506,1527,104.0496097,30.72806879,507.5159509
2210,1018,104.0494214,30.73264506,1470,104.0558742,30.73252706,617.9361295
2211,1019,104.0927207,30.68269427,1169,104.0910147,30.68363489,193.8310893
2212,1021,104.0235065,30.64133113,1806,104.024969,30.63984056,216.6409876
2213,1021,104.0235065,30.64133113,1814,104.0250489,30.64238503,188.3873173
2214,1021,104.0235065,30.64133113,1274,104.022218,30.64263573,190.1381143
2215,1022,104.1288196,30.6700879,1847,104.1230265,30.66673235,668.0776837
2216,1025,104.0089903,30.70038617,1277,104.0070896,30.69981339,192.7918389
2217,1025,104.0089903,30.70038617,1388,104.0114888,30.69862622,308.7220713
2218,1026,104.0707428,30.69704092,1424,104.0672117,30.6970296,338.1936844
2219,1027,103.9950403,30.66375076,1083,103.9903198,30.6638787,452.4942728
2220,1028,104.0316515,30.65804403,1366,104.0304595,30.65771852,119.7730366
